"Time","golf"
"2004-01-01",45
"2004-02-01",49
"2004-03-01",61
"2004-04-01",80
"2004-05-01",81
"2004-06-01",100
"2004-07-01",95
"2004-08-01",83
"2004-09-01",63
"2004-10-01",48
"2004-11-01",40
"2004-12-01",44
"2005-01-01",44
"2005-02-01",51
"2005-03-01",59
"2005-04-01",81
"2005-05-01",79
"2005-06-01",98
"2005-07-01",90
"2005-08-01",85
"2005-09-01",64
"2005-10-01",51
"2005-11-01",41
"2005-12-01",41
"2006-01-01",44
"2006-02-01",47
"2006-03-01",57
"2006-04-01",76
"2006-05-01",77
"2006-06-01",85
"2006-07-01",86
"2006-08-01",82
"2006-09-01",60
"2006-10-01",48
"2006-11-01",41
"2006-12-01",40
"2007-01-01",40
"2007-02-01",44
"2007-03-01",57
"2007-04-01",71
"2007-05-01",77
"2007-06-01",93
"2007-07-01",90
"2007-08-01",73
"2007-09-01",59
"2007-10-01",45
"2007-11-01",34
"2007-12-01",35
"2008-01-01",40
"2008-02-01",44
"2008-03-01",53
"2008-04-01",63
"2008-05-01",67
"2008-06-01",87
"2008-07-01",78
"2008-08-01",67
"2008-09-01",50
"2008-10-01",39
"2008-11-01",30
"2008-12-01",31
"2009-01-01",33
"2009-02-01",38
"2009-03-01",46
"2009-04-01",65
"2009-05-01",65
"2009-06-01",83
"2009-07-01",72
"2009-08-01",68
"2009-09-01",48
"2009-10-01",37
"2009-11-01",32
"2009-12-01",29
"2010-01-01",30
"2010-02-01",33
"2010-03-01",43
"2010-04-01",66
"2010-05-01",59
"2010-06-01",66
"2010-07-01",63
"2010-08-01",59
"2010-09-01",43
"2010-10-01",33
"2010-11-01",26
"2010-12-01",26
"2011-01-01",30
"2011-02-01",37
"2011-03-01",41
"2011-04-01",54
"2011-05-01",61
"2011-06-01",73
"2011-07-01",65
"2011-08-01",58
"2011-09-01",44
"2011-10-01",33
"2011-11-01",29
"2011-12-01",29
"2012-01-01",30
"2012-02-01",35
"2012-03-01",43
"2012-04-01",56
"2012-05-01",56
"2012-06-01",71
"2012-07-01",61
"2012-08-01",55
"2012-09-01",42
"2012-10-01",31
"2012-11-01",26
"2012-12-01",25
"2013-01-01",28
"2013-02-01",33
"2013-03-01",40
"2013-04-01",51
"2013-05-01",54
"2013-06-01",63
"2013-07-01",55
"2013-08-01",56
"2013-09-01",41
"2013-10-01",31
"2013-11-01",25
"2013-12-01",24
"2014-01-01",26
"2014-02-01",30
"2014-03-01",37
"2014-04-01",48
"2014-05-01",50
"2014-06-01",59
"2014-07-01",55
"2014-08-01",52
"2014-09-01",37
"2014-10-01",29
"2014-11-01",22
"2014-12-01",25
"2015-01-01",26
"2015-02-01",29
"2015-03-01",36
"2015-04-01",47
"2015-05-01",48
"2015-06-01",61
"2015-07-01",58
"2015-08-01",53
"2015-09-01",40
"2015-10-01",29
"2015-11-01",23
"2015-12-01",24
"2016-01-01",26
"2016-02-01",32
"2016-03-01",39
"2016-04-01",49
"2016-05-01",50
"2016-06-01",58
"2016-07-01",56
"2016-08-01",51
"2016-09-01",38
"2016-10-01",31
"2016-11-01",26
"2016-12-01",25
"2017-01-01",28
"2017-02-01",34
"2017-03-01",38
"2017-04-01",48
"2017-05-01",49
"2017-06-01",59
"2017-07-01",57
"2017-08-01",50
"2017-09-01",41
"2017-10-01",31
"2017-11-01",27
"2017-12-01",28
"2018-01-01",29
"2018-02-01",35
"2018-03-01",41
"2018-04-01",50
"2018-05-01",52
"2018-06-01",62
"2018-07-01",58
"2018-08-01",52
"2018-09-01",41
"2018-10-01",30
"2018-11-01",27
"2018-12-01",25
"2019-01-01",28
"2019-02-01",33
"2019-03-01",39
"2019-04-01",51
"2019-05-01",52
"2019-06-01",62
"2019-07-01",59
"2019-08-01",52
"2019-09-01",40
"2019-10-01",30
"2019-11-01",27
"2019-12-01",28
"2020-01-01",29
"2020-02-01",34
"2020-03-01",32
"2020-04-01",34
"2020-05-01",51
"2020-06-01",61
"2020-07-01",62
"2020-08-01",62
"2020-09-01",54
"2020-10-01",41
"2020-11-01",37
"2020-12-01",35
"2021-01-01",34
"2021-02-01",39
"2021-03-01",50
"2021-04-01",60
"2021-05-01",64
"2021-06-01",70
"2021-07-01",70
"2021-08-01",61
"2021-09-01",50
"2021-10-01",41
"2021-11-01",37
"2021-12-01",37
"2022-01-01",36
"2022-02-01",45
"2022-03-01",49
"2022-04-01",60
"2022-05-01",58
"2022-06-01",75
"2022-07-01",71
"2022-08-01",62
"2022-09-01",48
"2022-10-01",40
"2022-11-01",34
"2022-12-01",34
"2023-01-01",34
"2023-02-01",46
"2023-03-01",50
"2023-04-01",65
"2023-05-01",62
"2023-06-01",79
"2023-07-01",69
"2023-08-01",64
"2023-09-01",49
"2023-10-01",40
"2023-11-01",36
"2023-12-01",35
"2024-01-01",35
"2024-02-01",43
"2024-03-01",49
"2024-04-01",64
"2024-05-01",67
"2024-06-01",82
"2024-07-01",69
"2024-08-01",67
"2024-09-01",53
"2024-10-01",40
"2024-11-01",36
"2024-12-01",37
"2025-01-01",35
"2025-02-01",41
"2025-03-01",52
"2025-04-01",64
"2025-05-01",67
"2025-06-01",76
"2025-07-01",75
"2025-08-01",70
"2025-09-01",52
"2025-10-01",45
"2025-11-01",43
"2025-12-01",40
"2026-01-01",42
"2026-02-01",48
"2026-03-01",52
