Region,MetropolitanStatus,Exper,Educ,WeeklyEarnings
South,NotMetropolitanArea,8,12,859.71
Midwest,MetropolitanArea,30,12,786.73
West,MetropolitanArea,31,14,1424.5
West,MetropolitanArea,17,16,959.16
West,MetropolitanArea,6,12,154.32
Midwest,MetropolitanArea,24,17,282.19
Northeast,MetropolitanArea,14,12,444.44
Northeast,MetropolitanArea,28,12,451.09
South,MetropolitanArea,40,12,490.27
South,MetropolitanArea,7,16,493.83
Northeast,MetropolitanArea,3,15,427.35
Midwest,MetropolitanArea,5,12,379.87
Northeast,MetropolitanArea,17,17,1369.9
South,MetropolitanArea,24,12,227.92
Northeast,MetropolitanArea,11,16,712.25
West,MetropolitanArea,9,18,1187.08
Midwest,MetropolitanArea,0,16,427.35
South,MetropolitanArea,13,12,474.83
South,NotMetropolitanArea,10,12,385.8
Northeast,MetropolitanArea,8,12,522.32
Northeast,MetropolitanArea,42,12,493.83
Northeast,MetropolitanArea,24,14,864.2
South,MetropolitanArea,11,12,394.01
Midwest,MetropolitanArea,9,15,427.35
Midwest,NotMetropolitanArea,43,12,213.68
South,NotMetropolitanArea,4,14,356.13
South,NotMetropolitanArea,15,14,356.13
Northeast,MetropolitanArea,40,18,1590.69
Midwest,MetropolitanArea,10,14,783.48
West,MetropolitanArea,43,10,897.87
South,NotMetropolitanArea,5,12,356.13
Northeast,MetropolitanArea,14,16,505.7
South,NotMetropolitanArea,4,16,593.54
Midwest,NotMetropolitanArea,12,12,688.51
Midwest,MetropolitanArea,3,13,356.13
Northeast,MetropolitanArea,2,16,237.42
Northeast,MetropolitanArea,23,12,688.51
Midwest,NotMetropolitanArea,10,12,605.29
Northeast,MetropolitanArea,37,7,306.27
West,MetropolitanArea,10,12,1068.38
Northeast,MetropolitanArea,5,12,270.66
Midwest,MetropolitanArea,5,12,308.64
Northeast,MetropolitanArea,49,6,592.59
South,NotMetropolitanArea,2,12,244.44
South,NotMetropolitanArea,47,6,142.45
West,MetropolitanArea,15,12,997.15
West,MetropolitanArea,41,14,854.7
South,MetropolitanArea,9,12,284.9
Northeast,MetropolitanArea,33,18,949.67
Northeast,MetropolitanArea,6,12,356.13
South,MetropolitanArea,26,12,617.28
West,MetropolitanArea,7,12,370.37
Northeast,MetropolitanArea,0,13,617.28
South,MetropolitanArea,12,12,379.87
West,MetropolitanArea,23,13,617.28
West,MetropolitanArea,28,16,712.25
Northeast,MetropolitanArea,18,18,1210.83
Midwest,MetropolitanArea,6,12,712.25
Midwest,MetropolitanArea,37,11,854.7
South,MetropolitanArea,3,18,1092.12
Midwest,MetropolitanArea,7,14,569.8
South,MetropolitanArea,43,5,427.35
South,MetropolitanArea,15,16,902.18
West,MetropolitanArea,22,12,395.3
Midwest,MetropolitanArea,19,18,807.22
South,MetropolitanArea,3,16,384.62
Midwest,NotMetropolitanArea,29,12,973.41
West,NotMetropolitanArea,6,18,375.74
Northeast,MetropolitanArea,34,14,262.84
Northeast,MetropolitanArea,11,14,712.25
Northeast,MetropolitanArea,24,14,498.58
Northeast,NotMetropolitanArea,22,12,225.93
South,NotMetropolitanArea,44,11,284.32
Northeast,MetropolitanArea,27,18,3600.82
Midwest,MetropolitanArea,24,16,913.58
South,MetropolitanArea,21,12,284.9
West,MetropolitanArea,19,18,427.35
West,NotMetropolitanArea,23,12,556.77
Midwest,NotMetropolitanArea,30,13,1163.34
Midwest,NotMetropolitanArea,20,12,131.8
West,MetropolitanArea,14,12,854.7
Northeast,MetropolitanArea,29,14,712.25
Northeast,NotMetropolitanArea,32,16,1733.14
Northeast,MetropolitanArea,2,16,284.9
South,MetropolitanArea,39,13,590.45
Midwest,MetropolitanArea,41,16,575.98
Northeast,MetropolitanArea,11,12,451.09
Midwest,NotMetropolitanArea,17,12,553.77
South,MetropolitanArea,0,14,222.22
Northeast,MetropolitanArea,31,18,674.26
South,MetropolitanArea,21,14,591.17
Midwest,MetropolitanArea,9,12,489.34
Northeast,MetropolitanArea,13,14,890.31
South,MetropolitanArea,25,16,641.03
Northeast,MetropolitanArea,29,18,949.67
Northeast,MetropolitanArea,4,12,354.94
South,NotMetropolitanArea,32,12,925.93
South,MetropolitanArea,4,14,403.61
South,MetropolitanArea,34,16,1733.14
Midwest,MetropolitanArea,34,14,59.67
West,NotMetropolitanArea,2,12,263.37
South,MetropolitanArea,39,16,890.31
South,MetropolitanArea,4,9,56.98
West,NotMetropolitanArea,16,15,768.18
West,NotMetropolitanArea,15,18,854.7
Midwest,MetropolitanArea,38,16,1353.28
South,MetropolitanArea,23,14,617.28
West,NotMetropolitanArea,30,16,830.96
South,MetropolitanArea,6,12,234.57
Midwest,NotMetropolitanArea,10,11,166.19
South,MetropolitanArea,3,16,435.73
South,NotMetropolitanArea,21,17,937.32
Northeast,MetropolitanArea,21,16,1424.5
West,MetropolitanArea,9,16,641.03
Midwest,MetropolitanArea,19,12,474.83
Northeast,MetropolitanArea,4,17,712.25
West,MetropolitanArea,11,12,271.6
West,MetropolitanArea,16,11,273.03
West,MetropolitanArea,18,16,1234.57
